"predecessor","predecessorcid","transformation","successor","successorcid","evidencedoi","evidenceref","sourcecomment","sourcecommentfull","datasetref","enzyme","datasetdoi","biosystem","CID_to_CID","IK_to_IK","IKFB_to_IKFB","ReactionSMILES","DescReactionSMILES","predecessorEM","successorEM","MassDiff","XlogPDiff"
"3-Fluoro-cis,cis-muconate",9543396,"Eawag-BBD","4-Fluoromuconolactone","9543391","","Schlomann M, Fischer P, Schmidt E, Knackmuss HJ. J Bacteriol (1990) 172(9): 5119-29","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","9543396>>9543391","OZSAECPLLVFZIE-BXTBVDPRSA-N>>JWTRAEIUKUKVDW-UHFFFAOYSA-M","OZSAECPLLVFZIE>>JWTRAEIUKUKVDW","C(=C\C(=O)O)\C(=C/C(=O)O)\F>>C1=CC(OC1=O)(CC(=O)[O-])F","C(=C\C(=O)O)\C(=C/C(=O)O)\F>[Eawag-BBD]>C1=CC(OC1=O)(CC(=O)[O-])F CID: 9543396 to CID: 9543391","160.0171868","159.00936177","-1.00782502999999","0.6"
"3-fluoro-N-(4-methylthiazol-2-yl)-5-(6-oxo-1,6-dihydropyrimidin-5-yloxy)benzamide",118753260,"","3-(2,4-dioxo-1,2,3,4-tetrahydropyrimidin-5-yloxy)-5-fluoro-N-(4-methylthiazol-2-yl)benzamide","118753261","10.1124/dmd.112.046136","22711749","ChEMBL IDs (pred,succ,enzyme): CHEMBL3527122|CHEMBL3527123|CHEMBL1929","metid:2041; protacxns:P47989; geneids:7498","ChEMBL","Xanthine dehydrogenase",NA,NA,"118753260>>118753261","VWCQVFVHLJVTDY-UHFFFAOYSA-N>>MJXITVJSQJJGEJ-UHFFFAOYSA-N","VWCQVFVHLJVTDY>>MJXITVJSQJJGEJ","CC1=CSC(=N1)NC(=O)C2=CC(=CC(=C2)F)OC3=CN=CNC3=O>>CC1=CSC(=N1)NC(=O)C2=CC(=CC(=C2)F)OC3=CNC(=O)NC3=O","CC1=CSC(=N1)NC(=O)C2=CC(=CC(=C2)F)OC3=CN=CNC3=O>[]>CC1=CSC(=N1)NC(=O)C2=CC(=CC(=C2)F)OC3=CNC(=O)NC3=O CID: 118753260 to CID: 118753261","346.05358956","362.04850418","15.99491462","-0.2"
"3-fluoro-N-(4-methylthiazol-2-yl)-5-(pyrimidin-5-yloxy)benzamide",50990953,"","3-fluoro-N-(4-methylthiazol-2-yl)-5-(6-oxo-1,6-dihydropyrimidin-5-yloxy)benzamide","118753260","10.1124/dmd.112.046136","22711749","ChEMBL IDs (pred,succ,enzyme): CHEMBL2440659|CHEMBL3527122|CHEMBL3257","metid:2726; protacxns:Q06278; geneids:316","ChEMBL","Aldehyde oxidase",NA,NA,"50990953>>118753260","AXVLPJHYYFHCHK-UHFFFAOYSA-N>>VWCQVFVHLJVTDY-UHFFFAOYSA-N","AXVLPJHYYFHCHK>>VWCQVFVHLJVTDY","CC1=CSC(=N1)NC(=O)C2=CC(=CC(=C2)F)OC3=CN=CN=C3>>CC1=CSC(=N1)NC(=O)C2=CC(=CC(=C2)F)OC3=CN=CNC3=O","CC1=CSC(=N1)NC(=O)C2=CC(=CC(=C2)F)OC3=CN=CN=C3>[]>CC1=CSC(=N1)NC(=O)C2=CC(=CC(=C2)F)OC3=CN=CNC3=O CID: 50990953 to CID: 118753260","330.05867494","346.05358956","15.99491462","-0.7"
"3-Fluorobenzoate",3014096,"Eawag-BBD","3-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate","9543398","","Yamaguchi M, Fujisawa H. J Biol Chem (1980) 255(11): 5058-63","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","3014096>>9543398","MXNBDFWNYRNIBH-UHFFFAOYSA-M>>QDUOLNJDJPSHJC-CAHLUQPWSA-N","MXNBDFWNYRNIBH>>QDUOLNJDJPSHJC","C1=CC(=CC(=C1)F)C(=O)[O-]>>C1=C[C@@]([C@H](C(=C1)F)O)(C(=O)O)O","C1=CC(=CC(=C1)F)C(=O)[O-]>[Eawag-BBD]>C1=C[C@@]([C@H](C(=C1)F)O)(C(=O)O)O CID: 3014096 to CID: 9543398","139.01953253","174.03283686","35.01330433","-2.9"
"3-Fluorobenzoate",3014096,"Eawag-BBD","5-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate","23724763","","Yamaguchi M, Fujisawa H. J Biol Chem (1980) 255(11): 5058-63","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","3014096>>23724763","MXNBDFWNYRNIBH-UHFFFAOYSA-M>>SFLUOXSDNSKORB-VDTYLAMSSA-N","MXNBDFWNYRNIBH>>SFLUOXSDNSKORB","C1=CC(=CC(=C1)F)C(=O)[O-]>>C1=CC(=C[C@]([C@@H]1O)(C(=O)O)O)F","C1=CC(=CC(=C1)F)C(=O)[O-]>[Eawag-BBD]>C1=CC(=C[C@]([C@@H]1O)(C(=O)O)O)F CID: 3014096 to CID: 23724763","139.01953253","174.03283686","35.01330433","-2.9"
"3-Fluorocatechol",67764,"Eawag-BBD","2-Fluoro-cis,cis-muconate","9543400","","Schreiber A, Hellwig M, Dorn E, Reineke W, Knackmuss HJ. Appl Environ Microbiol (1980) 39(1): 58-67","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","67764>>9543400","DXOSJQLIRGXWCF-UHFFFAOYSA-N>>PTYIDKBTGREHJW-HSFFGMMNSA-N","DXOSJQLIRGXWCF>>PTYIDKBTGREHJW","C1=CC(=C(C(=C1)F)O)O>>C(=C\C(=O)O)\C=C(/C(=O)O)\F","C1=CC(=C(C(=C1)F)O)O>[Eawag-BBD]>C(=C\C(=O)O)\C=C(/C(=O)O)\F CID: 67764 to CID: 9543400","128.02735756","160.0171868","31.98982924","-1.1"
"3-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate",9543398,"Eawag-BBD","3-Fluorocatechol","67764","","Schreiber A, Hellwig M, Dorn E, Reineke W, Knackmuss HJ. Appl Environ Microbiol (1980) 39(1): 58-67","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","9543398>>67764","QDUOLNJDJPSHJC-CAHLUQPWSA-N>>DXOSJQLIRGXWCF-UHFFFAOYSA-N","QDUOLNJDJPSHJC>>DXOSJQLIRGXWCF","C1=C[C@@]([C@H](C(=C1)F)O)(C(=O)O)O>>C1=CC(=C(C(=C1)F)O)O","C1=C[C@@]([C@H](C(=C1)F)O)(C(=O)O)O>[Eawag-BBD]>C1=CC(=C(C(=C1)F)O)O CID: 9543398 to CID: 67764","174.03283686","128.02735756","-46.0054793","1.7"
"3-Formiminopyruvate",16757544,"Eawag-BBD","3-Formylpyruvate","16757546","","Watson GK, Houghton C, Cain RB. Biochem J (1974) 140(2): 277-92","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","16757544>>16757546","AHTJUEXRQQZHSF-UHFFFAOYSA-M>>YEZSWHPLZBZVLH-UHFFFAOYSA-M","AHTJUEXRQQZHSF>>YEZSWHPLZBZVLH","C(C=N)C(=O)C(=O)[O-]>>C(C=O)C(=O)C(=O)[O-]","C(C=N)C(=O)C(=O)[O-]>[Eawag-BBD]>C(C=O)C(=O)C(=O)[O-] CID: 16757544 to CID: 16757546","114.01911799","115.00313357","0.984015580000005","0"
"3-Formylpyruvate",16757546,"Eawag-BBD","Formate","283","","Watson GK, Houghton C, Cain RB. Biochem J (1974) 140(2): 277-92","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","16757546>>283","YEZSWHPLZBZVLH-UHFFFAOYSA-M>>BDAGIHXWWSANSR-UHFFFAOYSA-M","YEZSWHPLZBZVLH>>BDAGIHXWWSANSR","C(C=O)C(=O)C(=O)[O-]>>C(=O)[O-]","C(C=O)C(=O)C(=O)[O-]>[Eawag-BBD]>C(=O)[O-] CID: 16757546 to CID: 283","115.00313357","44.99765427","-70.0054793","0.5"
"3-Formylpyruvate",16757546,"Eawag-BBD","Pyruvate","107735","","Watson GK, Houghton C, Cain RB. Biochem J (1974) 140(2): 277-92","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","16757546>>107735","YEZSWHPLZBZVLH-UHFFFAOYSA-M>>LCTONWCANYUPML-UHFFFAOYSA-M","YEZSWHPLZBZVLH>>LCTONWCANYUPML","C(C=O)C(=O)C(=O)[O-]>>CC(=O)C(=O)[O-]","C(C=O)C(=O)C(=O)[O-]>[Eawag-BBD]>CC(=O)C(=O)[O-] CID: 16757546 to CID: 107735","115.00313357","87.008218953","-27.994914617","-0.6"
"3-Formylsalicylic acid",69117,"Eawag-BBD","2-Hydroxyisophthalic acid","11812","","Phale PS, Mahajan MC, Vaidyanathan CS. Arch Microbiol (1995) 163(1): 42-7","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","69117>>11812","YOEUNKPREOJHBW-UHFFFAOYSA-N>>WVDGHGISNBRCAO-UHFFFAOYSA-N","YOEUNKPREOJHBW>>WVDGHGISNBRCAO","C1=CC(=C(C(=C1)C(=O)O)O)C=O>>C1=CC(=C(C(=C1)C(=O)O)O)C(=O)O","C1=CC(=C(C(=C1)C(=O)O)O)C=O>[Eawag-BBD]>C1=CC(=C(C(=C1)C(=O)O)O)C(=O)O CID: 69117 to CID: 11812","166.02660867","182.02152329","15.99491462","0.1"
"3-hydroxy-2-[(2-methoxy-4-nitrophenyl)diazenyl]-N-(2-methoxyphenyl)but-2-enamide",140484307,"Aromatic Hydroxylation / Human Phase I","py74-M1","154700099","10.1186/s13321-018-0324-5","PMID:16014769","MetXBioDB | SourceID: BIOTID00902","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP3A4","10.5281/zenodo.4056560","Human","140484307>>154700099","CVJLCVZFYOXNLK-UHFFFAOYSA-N>>YEXIQNVZTXMHCX-UHFFFAOYSA-N","CVJLCVZFYOXNLK>>YEXIQNVZTXMHCX","CC(=C(C(=O)NC1=CC=CC=C1OC)N=NC2=C(C=C(C=C2)[N+](=O)[O-])OC)O>>CC(=C(C(=O)NC1=C(C=C(C=C1)O)OC)N=NC2=C(C=C(C=C2)[N+](=O)[O-])OC)O","CC(=C(C(=O)NC1=CC=CC=C1OC)N=NC2=C(C=C(C=C2)[N+](=O)[O-])OC)O>[Aromatic Hydroxylation / Human Phase I]>CC(=C(C(=O)NC1=C(C=C(C=C1)O)OC)N=NC2=C(C=C(C=C2)[N+](=O)[O-])OC)O CID: 140484307 to CID: 154700099","386.12263431","402.11754893","15.99491462","-0.4"
"3-Hydroxy-2-formylbenzothiophene",161579,"Eawag-BBD","Carbon Dioxide","280","","Mormile MR, Atlas RM. Appl Environ Microbiol (1988) 54(12): 3183-4.","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","161579>>280","FKDSQVIMAMXYDT-UHFFFAOYSA-N>>CURLTUGMZLYLDI-UHFFFAOYSA-N","FKDSQVIMAMXYDT>>CURLTUGMZLYLDI","C1=CC=C2C(=C1)C(=C(S2)C=O)O>>C(=O)=O","C1=CC=C2C(=C1)C(=C(S2)C=O)O>[Eawag-BBD]>C(=O)=O CID: 161579 to CID: 280","178.0088506","43.989829239","-134.019021361","-2"
"3-Hydroxy-2-methylhexanoyl-CoA",9543278,"Eawag-BBD","2-Methyl-3-oxohexanoyl-CoA","9543279","","Wilkes H, Rabus R, Fischer T, Armstroff A, Behrends A, Widdel F. Arch Microbiol (2002) 177(3): 235-43.","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","9543278>>9543279","CAMFTXNPIJNLKK-AZKLLKNGSA-N>>OLGJBADLFLQCOO-OXXAVVHVSA-N","CAMFTXNPIJNLKK>>OLGJBADLFLQCOO","CCCC(C(C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O>>CCCC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","CCCC(C(C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O>[Eawag-BBD]>CCCC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O CID: 9543278 to CID: 9543279","895.19893987","893.18328981","-2.01565005999998","0.0999999999999996"
"3-Hydroxy-2-methylpyridine-4,5-dicarboxylate",54683777,"Eawag-BBD","3-Hydroxy-2-methylpyridine-5-carboxylate","54690912","","Nelson MJ, Snell EE. J Biol Chem (1986) 261(32): 15115-20","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","54683777>>54690912","LVJJEIJOKPHQOU-UHFFFAOYSA-L>>NYEFWJFPBFRRKU-UHFFFAOYSA-M","LVJJEIJOKPHQOU>>NYEFWJFPBFRRKU","CC1=NC=C(C(=C1[O-])C(=O)O)C(=O)[O-]>>CC1=C(C=C(C=N1)C(=O)O)[O-]","CC1=NC=C(C(=C1[O-])C(=O)O)C(=O)[O-]>[Eawag-BBD]>CC1=C(C=C(C=N1)C(=O)O)[O-] CID: 54683777 to CID: 54690912","195.01677226","152.034768053","-42.982004207","-0.7"
"3-Hydroxy-2-methylpyridine-5-carboxylate",54690912,"Eawag-BBD","2-(Acetamidomethylene)succinate","21158439","","Nelson MJ, Snell EE. J Biol Chem (1986) 261(32): 15115-20","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","54690912>>21158439","NYEFWJFPBFRRKU-UHFFFAOYSA-M>>CPBSBMPDIRRVGP-HYXAFXHYSA-L","NYEFWJFPBFRRKU>>CPBSBMPDIRRVGP","CC1=C(C=C(C=N1)C(=O)O)[O-]>>CC(=O)N/C=C(/CC(=O)[O-])\C(=O)[O-]","CC1=C(C=C(C=N1)C(=O)O)[O-]>[Eawag-BBD]>CC(=O)N/C=C(/CC(=O)[O-])\C(=O)[O-] CID: 54690912 to CID: 21158439","152.034768053","185.03242232","32.997654267","-0.6"
"3-Hydroxy-2-naphthaldehyde",315482,"Oxidative metabolism","3-Hydroxy-2-naphthoic acid","7104","PMID:14342521","PMID:14342521","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Pseudomonas aeruginosa","315482>>7104","QCUNDLUTTXSPFM-UHFFFAOYSA-N>>ALKYHXVLJMQRLQ-UHFFFAOYSA-N","QCUNDLUTTXSPFM>>ALKYHXVLJMQRLQ","C1=CC=C2C=C(C(=CC2=C1)C=O)O>>C1=CC=C2C=C(C(=CC2=C1)C(=O)O)O","C1=CC=C2C=C(C(=CC2=C1)C=O)O>[Oxidative metabolism]>C1=CC=C2C=C(C(=CC2=C1)C(=O)O)O CID: 315482 to CID: 7104","172.052429494","188.047344113","15.994914619","0.1"
"3-Hydroxy-2-naphthoate",54675878,"Eawag-BBD","2,3-Dihydroxynaphthalene","7091","","EVANS WC, FERNLEY HN, GRIFFITHS E. Biochem J (1965) 95: 819-31","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","54675878>>7091","ALKYHXVLJMQRLQ-UHFFFAOYSA-M>>JRNGUTKWMSBIBF-UHFFFAOYSA-N","ALKYHXVLJMQRLQ>>JRNGUTKWMSBIBF","C1=CC=C2C=C(C(=CC2=C1)C(=O)O)[O-]>>C1=CC=C2C=C(C(=CC2=C1)O)O","C1=CC=C2C=C(C(=CC2=C1)C(=O)O)[O-]>[Eawag-BBD]>C1=CC=C2C=C(C(=CC2=C1)O)O CID: 54675878 to CID: 7091","187.039519081","160.052429494","-26.987089587","-1"
"3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA",74982279,"Eawag-BBD","2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA","443526","","Griffiths ET, Bociek SM, Harries PC, Jeffcoat R, Sissons DJ, Trudgill PW. J Bacteriol (1987) 169(11): 4972-9","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","74982279>>443526","LQMGDAUBYDSVAK-UHFFFAOYSA-N>>ZDNHBFFDLIHLER-RUGIFTTKSA-N","LQMGDAUBYDSVAK>>ZDNHBFFDLIHLER","CC(C)C(=C)CC(C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O>>CC(C)C(=C)CC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","CC(C)C(=C)CC(C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O>[Eawag-BBD]>CC(C)C(=C)CC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O CID: 74982279 to CID: 443526","935.23024","933.21458994","-2.01565005999998","0.2"
"3-Hydroxy-2p-methoxyflavone",578729,"O-glucuronidation / Human Phase II","(2S,3S,4S,5R)-3,4,5-trihydroxy-6-[2-(2-methoxyphenyl)-4-oxochromen-3-yl]oxyoxane-2-carboxylic acid","154700137","10.1186/s13321-018-0324-5","Wu et al. 2011; Accurate Prediction of Glucuronidation of Structurally Diverse Phenolics by Human UGT1A9 Using Combined Experimental and In Silico Approaches; Pharm Res (2012) 29:1544-1561; DOI:10.1007/s11095-012-0666-z","MetXBioDB | SourceID: BIOTID02071","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","UGT1A9","10.5281/zenodo.4056560","Human","578729>>154700137","NOPCFBOJEWSFKO-UHFFFAOYSA-N>>ZFLCKQJYDYZRPD-XTLXVGOWSA-N","NOPCFBOJEWSFKO>>ZFLCKQJYDYZRPD","COC1=CC=CC=C1C2=C(C(=O)C3=CC=CC=C3O2)O>>COC1=CC=CC=C1C2=C(C(=O)C3=CC=CC=C3O2)OC4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O","COC1=CC=CC=C1C2=C(C(=O)C3=CC=CC=C3O2)O>[O-glucuronidation / Human Phase II]>COC1=CC=CC=C1C2=C(C(=O)C3=CC=CC=C3O2)OC4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O CID: 578729 to CID: 154700137","268.07355886","444.10564683","176.03208797","-1.6"
"3-Hydroxy-2p,3p-dimethoxyflavone",688713,"O-glucuronidation / Human Phase II","6-[2-(2,3-dimethoxyphenyl)-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid","154700123","10.1186/s13321-018-0324-5","Wu et al. 2011; Accurate Prediction of Glucuronidation of Structurally Diverse Phenolics by Human UGT1A9 Using Combined Experimental and In Silico Approaches; Pharm Res (2012) 29:1544-1561; DOI:10.1007/s11095-012-0666-z","MetXBioDB | SourceID: BIOTID01722","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","UGT1A9","10.5281/zenodo.4056560","Human","688713>>154700123","KEUIFZDBIBQKJD-UHFFFAOYSA-N>>YWIFYTGFZNWLSF-UHFFFAOYSA-N","KEUIFZDBIBQKJD>>YWIFYTGFZNWLSF","COC1=CC=CC(=C1OC)C2=C(C(=O)C3=CC=CC=C3O2)O>>COC1=CC=CC(=C1OC)C2=C(C(=O)C3=CC=CC=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O","COC1=CC=CC(=C1OC)C2=C(C(=O)C3=CC=CC=C3O2)O>[O-glucuronidation / Human Phase II]>COC1=CC=CC(=C1OC)C2=C(C(=O)C3=CC=CC=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O CID: 688713 to CID: 154700123","298.08412354","474.11621151","176.03208797","-1.6"
"3-Hydroxy-3-(4-sulfophenyl)butyryl-CoA",146048090,"Eawag-BBD","4-Sulfoacetophenone","5094382","","Schleheck D, von Netzer F, Fleischmann T, Rentsch D, Huhn T, Cook AM, Kohler HP. Appl Environ Microbiol (2010) 76(1): 196-202","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","146048090>>5094382","WPXHLUDKXALREI-UHFFFAOYSA-I>>ACPXHHDRVABPNY-UHFFFAOYSA-M","WPXHLUDKXALREI>>ACPXHHDRVABPNY","CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)CC(C)(C4=CC=C(C=C4)S(=O)(=O)[O-])O)O>>CC(=O)C1=CC=C(C=C1)S(=O)(=O)[O-]","CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)CC(C)(C4=CC=C(C=C4)S(=O)(=O)[O-])O)O>[Eawag-BBD]>CC(=O)C1=CC=C(C=C1)S(=O)(=O)[O-] CID: 146048090 to CID: 5094382","1004.10097968","199.00650487","-805.09447481","6.6"
"3-Hydroxy-3-isohexeneylglutaryl-CoA",74982291,"Eawag-BBD","7-Methyl-3-oxo-6-octenoyl-CoA","9549325","","Hoschle B, Jendrossek D. Microbiology (2005) 151(Pt 7): 2277-83","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","74982291>>9549325","ATTJZXQHBIJXLV-UHFFFAOYSA-M>>LPMIXVANMSEERY-FUEUKBNZSA-N","ATTJZXQHBIJXLV>>LPMIXVANMSEERY","CC(=CCCC(CC(=O)[O-])(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O)C>>CC(=CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C","CC(=CCCC(CC(=O)[O-])(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O)C>[Eawag-BBD]>CC(=CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C CID: 74982291 to CID: 9549325","978.21224421","919.19893987","-59.01330434","0.1"
"3-Hydroxy-3-isohexeneylglutaryl-CoA",74982291,"Eawag-BBD","Acetate","175","","Hoschle B, Jendrossek D. Microbiology (2005) 151(Pt 7): 2277-83","","","S121 | EAWAGBBD | Curated Transformation Reactions from Eawag-BBD","","10.5281/zenodo.14396807","","74982291>>175","ATTJZXQHBIJXLV-UHFFFAOYSA-M>>QTBSBXVTEAMEQO-UHFFFAOYSA-M","ATTJZXQHBIJXLV>>QTBSBXVTEAMEQO","CC(=CCCC(CC(=O)[O-])(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O)C>>CC(=O)[O-]","CC(=CCCC(CC(=O)[O-])(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O)C>[Eawag-BBD]>CC(=O)[O-] CID: 74982291 to CID: 175","978.21224421","59.013304334","-919.198939876","4.4"
"3-Hydroxy-3p-methoxyflavone",676296,"O-glucuronidation / Human Phase II","(2S,3S,4S,5R)-3,4,5-trihydroxy-6-[2-(3-methoxyphenyl)-4-oxochromen-3-yl]oxyoxane-2-carboxylic acid","154699879","10.1186/s13321-018-0324-5","Wu et al. 2011; Accurate Prediction of Glucuronidation of Structurally Diverse Phenolics by Human UGT1A9 Using Combined Experimental and In Silico Approaches; Pharm Res (2012) 29:1544-1561; DOI:10.1007/s11095-012-0666-z","MetXBioDB | SourceID: BIOTID02003","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","UGT1A9","10.5281/zenodo.4056560","Human","676296>>154699879","GYLGASXCHFNKHD-UHFFFAOYSA-N>>PPNVNENSEFLUSY-XTLXVGOWSA-N","GYLGASXCHFNKHD>>PPNVNENSEFLUSY","COC1=CC=CC(=C1)C2=C(C(=O)C3=CC=CC=C3O2)O>>COC1=CC=CC(=C1)C2=C(C(=O)C3=CC=CC=C3O2)OC4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O","COC1=CC=CC(=C1)C2=C(C(=O)C3=CC=CC=C3O2)O>[O-glucuronidation / Human Phase II]>COC1=CC=CC(=C1)C2=C(C(=O)C3=CC=CC=C3O2)OC4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O CID: 676296 to CID: 154699879","268.07355886","444.10564683","176.03208797","-2"
