"predecessor","predecessorcid","transformation","successor","successorcid","evidencedoi","evidenceref","sourcecomment","sourcecommentfull","datasetref","enzyme","datasetdoi","biosystem"
"(-)-Menthol",16666,"O-glucuronidation / Human Phase II","(2S,3S,4S,5R)-3,4,5-trihydroxy-6-[(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexyl]oxyoxane-2-carboxylic acid","154699531","10.1186/s13321-018-0324-5","Jager, W. and Hoferl,M. (2016); Metabolism of Terpenoids in Animal Models and Humans","MetXBioDB | SourceID: BIOTID01863","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","UGT","10.5281/zenodo.4056560","Human"
"(-)-pseudococaine",644018,"N-dealkylation of alicyclic tertiary amine / Human Phase I","Norcocaine","154699498","10.1186/s13321-018-0324-5","Rendic, S. et al. (1997); Human Cytochrome P450 Enzymes: A Status Report Summarizing Their Reactions, Substrates, Inducers, and Inhibitors; Drug Metabolism reviews 1997, 29, 413-580|Brone, R.F. et al. (1977); Biological Effects of Cocaine Derivatives I: Improved Systhesis and Pharmacological Evaluation of Norcocaine; J. Pharm. Sci. 1977, 66, 119-120.","MetXBioDB | SourceID: BIOTID00037","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP3A4","10.5281/zenodo.4056560","Human"
"(-)-thalidomide",92142,"Alpha hydroxylation of carbonyl group / Human Phase I","5'-Hydroxythalidomide","154699639","10.1186/s13321-018-0324-5","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675","MetXBioDB | SourceID: BIOTID00038","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2C19","10.5281/zenodo.4056560","Human"
"(-)-thalidomide",92142,"Arene epoxidation / Human Phase I","(-)-thalidomide arene oxide","154699796","10.1186/s13321-018-0324-5","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675","MetXBioDB | SourceID: BIOTID00040","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP1A1; CYP1A2; CYP2C19; CYP2E1","10.5281/zenodo.4056560","Human"
"(-)-thalidomide",92142,"Aromatic hydroxylation of fused benzene ring / Human Phase I","5-hydroxy-thalidomide","44250311","10.1186/s13321-018-0324-5","R1) Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675","MetXBioDB | SourceID: BIOTID00039","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2C19","10.5281/zenodo.4056560","Human"
"(-)-zileuton",10220327,"Aromatic hydroxylation of fused benzene ring / Human Phase I","Hydroxyzileuton","154700148","10.1186/s13321-018-0324-5","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675","MetXBioDB | SourceID: BIOTID00042","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP1A2; CYP2C9","10.5281/zenodo.4056560","Human"
"(-)-zileuton",10220327,"Thiophene S-oxidation / Human Phase I","Zileuton sulfoxide","95162932","10.1186/s13321-018-0324-5","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675","MetXBioDB | SourceID: BIOTID00041","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP3A4","10.5281/zenodo.4056560","Human"
"((4aR,6R)-9-{2-[(1R,4S)-5-((S)-3-Fluoro-phenyl)-pyridin-2-yl]-vinyl}-1-methyl-3-oxo-dodecahydro-naphtho[2,3-c]furan-6-yl)-carbamic acid(R)-2-hydroxy-ethyl ester",49838773,"NULL","(3R,3aS,4S,4aR,7R,8aR,9aR)-7-amino-4-((E)-2-(5-(3-fluorophenyl)pyridin-2-yl)vinyl)-3-methyldecahydronaphtho[2,3-c]furan-1(3H)-one","24878828","10.1124/dmd.110.035493","20926621","ChEMBL IDs (pred,succ,enzyme): CHEMBL3542381|CHEMBL498785|CHEMBL340","metid:294; protacxns:P08684; geneids:1576","ChEMBL","Cytochrome P450 3A4",NA,NA
"((4aR,6R)-9-{2-[(1R,4S)-5-((S)-3-Fluoro-phenyl)-pyridin-2-yl]-vinyl}-1-methyl-3-oxo-dodecahydro-naphtho[2,3-c]furan-6-yl)-carbamic acid(R)-2-hydroxy-ethyl ester",49838773,"NULL","(3R,3aS,4S,4aR,7R,8aR,9aR)-7-amino-4-((E)-2-(5-(3-fluorophenyl)pyridin-2-yl)vinyl)-3-methyldecahydronaphtho[2,3-c]furan-1(3H)-one","24878828","10.1124/dmd.110.035493","20926621","ChEMBL IDs (pred,succ,enzyme): CHEMBL3542381|CHEMBL498785|CHEMBL3491","metid:1538; protacxns:P51589; geneids:1573","ChEMBL","Cytochrome P450 2J2",NA,NA
"((S)-1-{(1S,2S)-1-Benzyl-2-hydroxy-3-[N'-((S)-2-methoxycarbonylamino-3,3-dimethyl-butyryl)-N-(4-pyridin-2-yl-benzyl)-hydrazino]-propylcarbamoyl}-3-hydroxy-2,2-dimethyl-propyl)-carbamic acid methyl ester",71474000,"NULL","((S)-1-{(1S,2S)-1-Benzyl-2-hydroxy-3-[N'-((S)-2-methoxycarbonylamino-3,3-dimethyl-butyryl)-N-(4-pyridin-2-yl-benzyl)-hydrazino]-propylcarbamoyl}-3-hydroxy-2-hydroxymethyl-2-methyl-propyl)-carbamic acid methyl ester","118753150","10.1124/dmd.110.036327","21148252","ChEMBL IDs (pred,succ,enzyme): CHEMBL3526718|CHEMBL3526787|NULL","metid:402; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
