"predecessor","predecessorcid","transformation","successor","successorcid","evidencedoi","evidenceref","sourcecomment","sourcecommentfull","datasetref","enzyme","datasetdoi","biosystem"
"5-(4-((6-hydroxy-1-methyl-1H-benzo[d]imidazol-2-yl)methoxy)benzyl)thiazolidine-2,4-dione",21137753,"NULL","unnamed metabolite","118753460","10.1124/dmd.110.036194","21177486","ChEMBL IDs (pred,succ,enzyme): CHEMBL3526208|CHEMBL3542322|NULL","metid:346; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-(4-((6-methoxy-1H-benzo[d]imidazol-2-yl)methoxy)benzyl)thiazolidine-2,4-dione",12074181,"NULL","5-(4-((6-hydroxy-1H-benzo[d]imidazol-2-yl)methoxy)benzyl)thiazolidine-2,4-dione","118753140","10.1124/dmd.110.036194","21177486","ChEMBL IDs (pred,succ,enzyme): CHEMBL3526767|CHEMBL3526766|NULL","metid:354; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-(4-(3-chloro-4-(3-fluorobenzyloxy)phenylamino)quinazolin-6-yl)furan-2-carbaldehyde",11181296,"NULL","(5-(4-(3-chloro-4-(3-fluorobenzyloxy)phenylamino)quinazolin-6-yl)furan-2-yl)methanol","24738004","10.1124/dmd.113.051151","23404373","ChEMBL IDs (pred,succ,enzyme): CHEMBL3527095|CHEMBL3542268|NULL","metid:2758; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-(4-(3-chloro-4-(3-fluorobenzyloxy)phenylamino)quinazolin-6-yl)furan-2-carbaldehyde",11181296,"NULL","5-(4-(3-chloro-4-(3-fluorobenzyloxy)phenylamino)quinazolin-6-yl)furan-2-carboxylic acid","49856711","10.1124/dmd.111.040949","21965624","ChEMBL IDs (pred,succ,enzyme): CHEMBL3527095|CHEMBL3526263|NULL","metid:2374; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-(P-HYDROXYPHENYL)-5-PHENYLDANTOIN",17732,"Glucuronidation (Phase 2 metabolism)","5-(P-HYDROXYPHENYL)-5-PHENYLDANTOIN O-GLUCURONIDE","135250","NULL","NULL","ChEMBL IDs (pred,succ,enzyme): CHEMBL1908021|CHEMBL3544887|NULL","metid:657; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-(P-HYDROXYPHENYL)-5-PHENYLDANTOIN",17732,"Glucuronidation (Phase 2 metabolism)","5-(P-HYDROXYPHENYL)-5-PHENYLDANTOIN O-GLUCURONIDE","135250","NULL","NULL","ChEMBL IDs (pred,succ,enzyme): CHEMBL1908021|CHEMBL3544887|NULL","metid:855; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-FLUORODIHYDROURACIL",121997,"Pyrimidine ring-opening","ALPHA-FLUORO-BETA-UREIDOPROPIONATE","151244","10.1016/j.jchromb.2011.02.045","21450537","ChEMBL IDs (pred,succ,enzyme): CHEMBL219497|CHEMBL3544570|CHEMBL2465","metid:1517; protacxns:NULL; geneids:NULL","ChEMBL","Dihydropyrimidinase",NA,NA
"5-FLUORODIHYDROURACIL",121997,"Ring-opening amide hydrolysis","ALPHA-FLUORO-BETA-UREIDOPROPIONATE","151244","10.2217/pgs.10.188","21449674","ChEMBL IDs (pred,succ,enzyme): CHEMBL219497|CHEMBL3544570|NULL","metid:644; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-FLUOROURIDINE",9427,"addition of a phosphate group","5-FLUOROURIDINE MONOPHOSPHATE","150856","10.2217/pgs.10.188","21449674","ChEMBL IDs (pred,succ,enzyme): CHEMBL54918|CHEMBL474163|CHEMBL2469","metid:1300; protacxns:Q9BZX2; geneids:7371","ChEMBL","Uridine-cytidine kinase 2",NA,NA
"5-FLUOROURIDINE DIPHOSPHATE",10432343,"addition of a phosphate group","5-FLUOROURIDINE TRIPHOSPHATE","10255482","10.2217/pgs.10.188","21449674","ChEMBL IDs (pred,succ,enzyme): CHEMBL590981|CHEMBL1774|CHEMBL2159","metid:650; protacxns:P15531; geneids:4830","ChEMBL","Nucleoside diphosphate kinase 1",NA,NA
"5-FLUOROURIDINE DIPHOSPHATE",10432343,"addition of a phosphate group","5-FLUOROURIDINE TRIPHOSPHATE","10255482","10.2217/pgs.10.188","21449674","ChEMBL IDs (pred,succ,enzyme): CHEMBL590981|CHEMBL1774|CHEMBL2160","metid:649; protacxns:P22392; geneids:4831|654364","ChEMBL","Nucleoside diphosphate kinase 2",NA,NA
"5-FLUOROURIDINE MONOPHOSPHATE",150856,"addition of a phosphate group","5-FLUOROURIDINE DIPHOSPHATE","10432343","10.2217/pgs.10.188","21449674","ChEMBL IDs (pred,succ,enzyme): CHEMBL474163|CHEMBL590981|CHEMBL2469","metid:1301; protacxns:Q9BZX2; geneids:7371","ChEMBL","Uridine-cytidine kinase 2",NA,NA
"5-GS-2-Ene VPA-CoA",122197273,"NULL","(E)-5-(N-acetylcystein-S-yl)-2- ene VPA","101724723","NULL","10859157","ChEMBL IDs (pred,succ,enzyme): CHEMBL3706514|CHEMBL3706517|NULL","metid:1861; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-GS-3-Ene VPA-CoA",122197272,"NULL","(R)-(E)-5-(N-acetylcystein- S-yl)-3-ene VPA","122197275","NULL","10859157","ChEMBL IDs (pred,succ,enzyme): CHEMBL3706513|CHEMBL3706516|NULL","metid:1860; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-GS-3-Ene VPA-CoA",122197272,"NULL","(S)-(E)-5-(N-acetylcystein- S-yl)-3-ene VPA","122197274","NULL","10859157","ChEMBL IDs (pred,succ,enzyme): CHEMBL3706513|CHEMBL3706515|NULL","metid:1859; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-7-(2-hydroxyethoxy)-3-((2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(((2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyltetrahydro-2H-pyran-2-yloxy)methyl)tetrahydro-2H-pyran-2-yloxy)-4H-chromen-4-one",118753210,"NULL","(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-(5-(5-hydroxy-7-(2-hydroxyethoxy)-4-oxo-3-((2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(((2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyltetrahydro-2H-pyran-2-yloxy)methyl)tetrahydro-2H-pyran-2-yloxy)-4H-chromen-2-yl)-2-methoxyphenoxy)tetrahydro-2H-pyran-2-carboxylic acid","118753208","10.1124/dmd.110.036525","21266594","ChEMBL IDs (pred,succ,enzyme): CHEMBL3526995|CHEMBL3526993|NULL","metid:2661; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-7-(2-hydroxyethoxy)-3-((2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(((2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyltetrahydro-2H-pyran-2-yloxy)methyl)tetrahydro-2H-pyran-2-yloxy)-4H-chromen-4-one",118753210,"NULL","2-(3,4-dimethoxyphenyl)-5-hydroxy-7-(2-hydroxyethoxy)-3-((2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(((2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyltetrahydro-2H-pyran-2-yloxy)methyl)tetrahydro-2H-pyran-2-yloxy)-4H-chromen-4-one","118753049","10.1124/dmd.110.036525","21266594","ChEMBL IDs (pred,succ,enzyme): CHEMBL3526995|CHEMBL3526455|NULL","metid:2280; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-7-(2-hydroxyethoxy)-3-((2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(((2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyltetrahydro-2H-pyran-2-yloxy)methyl)tetrahydro-2H-pyran-2-yloxy)-4H-chromen-4-one",118753210,"NULL","2-(5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4-oxo-3-((2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(((2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyltetrahydro-2H-pyran-2-yloxy)methyl)tetrahydro-2H-pyran-2-yloxy)-4H-chromen-7-yloxy)acetic acid","118753211","10.1124/dmd.110.036525","21266594","ChEMBL IDs (pred,succ,enzyme): CHEMBL3526995|CHEMBL3526996|NULL","metid:2279; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-7-(2-hydroxyethoxy)-3-((2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(((2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyltetrahydro-2H-pyran-2-yloxy)methyl)tetrahydro-2H-pyran-2-yloxy)-4H-chromen-4-one",118753210,"NULL","5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-7-(2-hydroxyethoxy)-3-((2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yloxy)-4H-chromen-4-one","118753016","10.1124/dmd.110.036525","21266594","ChEMBL IDs (pred,succ,enzyme): CHEMBL3526995|CHEMBL3526295|NULL","metid:2281; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-hydroxy-5-(4-((6-methoxy-1-methyl-1H-benzo[d]imidazol-2-yl)methoxy)benzyl)thiazolidine-2,4-dione",118753052,"NULL","2-hydroxy-3-(4-((6-methoxy-1-methyl-1H-benzo[d]imidazol-2-yl)methoxy)phenyl)propanamide","118752995","10.1124/dmd.111.038729","21511943","ChEMBL IDs (pred,succ,enzyme): CHEMBL3526469|CHEMBL3526242|NULL","metid:2338; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-Hydroxy-aceclofenac",101998321,"O-glucuronidation / Human Phase II","(2S,3S,4S,5R)-6-[3-[2-(carboxymethoxy)-2-oxoethyl]-4-(2,6-dichloroanilino)phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","154699740","10.1186/s13321-018-0324-5","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675.","MetXBioDB | SourceID: BIOTID02069","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","UGT","10.5281/zenodo.4056560","Human"
"5-Hydroxy-aceclofenac",101998321,"O-sulfonation / Human Phase II","2-[2-[2-(2,6-dichloroanilino)-5-sulfooxyphenyl]acetyl]oxyacetic acid","154699775","10.1186/s13321-018-0324-5","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675.","MetXBioDB | SourceID: BIOTID02070","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","SULT","10.5281/zenodo.4056560","Human"
"5-HYDROXY-BUSPIRONE",59964599,"Demaination followed by further step leading to the formation of a carboxylic acid group on the butyl side-chain.","CARBOXYLIC ACID METABOLITE","33695292","NULL","NULL","ChEMBL IDs (pred,succ,enzyme): CHEMBL3544645|CHEMBL3544647|NULL","metid:819; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-HYDROXY-BUSPIRONE",59964599,"Hydroxylation of the azaspironedecanedione moiety.","5,6'-DIHYDROXYBUSPIRONE","118753577","10.1124/dmd.104.000836","15640381","ChEMBL IDs (pred,succ,enzyme): CHEMBL3544645|CHEMBL3544646|NULL","metid:1350; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-HYDROXY-BUSPIRONE",59964599,"N-dealkylation of the substituted butyl side-chain.","5-HYDROXY-1-PYRIMIDINYLPIPERAZINE","34180809","10.1124/dmd.104.000836","15640381","ChEMBL IDs (pred,succ,enzyme): CHEMBL3544645|CHEMBL3544644|NULL","metid:818; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-Hydroxy-Omeprazole",119560,"NULL","CHEMBL4525759","155543694","10.1124/dmd.111.042200","22010218","ChEMBL IDs (pred,succ,enzyme): CHEMBL3527071|CHEMBL4525759|CHEMBL340","metid:2391; protacxns:P08684; geneids:1576","ChEMBL","Cytochrome P450 3A4",NA,NA
"5-Hydroxy-Omeprazole",119560,"NULL","CHEMBL4525760","129002","10.1124/dmd.111.042200","22010218","ChEMBL IDs (pred,succ,enzyme): CHEMBL3527071|CHEMBL4525760|NULL","metid:2392; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-Hydroxy-paeonol",12543919,"O-sulfonation / Human Phase II","(2-acetyl-4-hydroxy-5-methoxyphenyl) hydrogen sulfate","154699485","10.1186/s13321-018-0324-5","Wang, and Zhou (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 4066-4218","MetXBioDB | SourceID: BIOTID01901","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","SULT","10.5281/zenodo.4056560","Human"
"5-hydroxy-resacetophenone",74559,"O-sulfonation / Human Phase II","(5-Acetyl-2,4-dihydroxyphenyl) hydrogen sulfate","10848131","10.1186/s13321-018-0324-5","Wang, and Zhou (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 4066-4218","MetXBioDB | SourceID: BIOTID02048","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","SULT","10.5281/zenodo.4056560","Human"
"5-hydroxy saxagliptin",23645678,"non enzymatic","NULL","118753505","10.1124/dmd.112.045450","22496391","ChEMBL IDs (pred,succ,enzyme): CHEMBL3350936|CHEMBL3542408|NULL","metid:2448; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-Hydroxy, 6-methoxy duloxetine",154699575,"O-sulfonation / Human Phase II","[5-[1-(Furan-2-yl)-3-(methylamino)propoxy]-2-methoxynaphthalen-1-yl] hydrogen sulfate","131770039","10.1186/s13321-018-0324-5","http://www.hmdb.ca/metabolites/HMDB0061128","MetXBioDB | SourceID: BIOTID02011","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","SULT","10.5281/zenodo.4056560","Human"
"5-hydroxydiclofenac",3052566,"Aromatic Hydroxylation / Human Phase I","4',5-Dihydroxydiclofenac","3052567","10.1186/s13321-018-0324-5","PMID:10449188","MetXBioDB | SourceID: BIOTID00187","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2C9","10.5281/zenodo.4056560","Human"
"5-hydroxydiclofenac",3052566,"O-glucuronidation / Human Phase II","(2S,3S,4S,5R)-6-[3-(carboxymethyl)-4-(2,6-dichloroanilino)phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","154699669","10.1186/s13321-018-0324-5","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675.","MetXBioDB | SourceID: BIOTID01970","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","UGT","10.5281/zenodo.4056560","Human"
"5-hydroxydiclofenac",3052566,"O-sulfonation / Human Phase II","2-[2-(2,6-dichloroanilino)-5-sulfooxyphenyl]acetic acid","154699684","10.1186/s13321-018-0324-5","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675.","MetXBioDB | SourceID: BIOTID01971","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","SULT","10.5281/zenodo.4056560","Human"
"5-Hydroxyflavone",68112,"Aromatic-OH glucuronidation / Human Phase II","(2S,3S,4S,5R)-3,4,5-trihydroxy-6-(4-oxo-2-phenylchromen-5-yl)oxyoxane-2-carboxylic acid","154700108","10.1186/s13321-018-0324-5","Wu et al. 2011; Accurate Prediction of Glucuronidation of Structurally Diverse Phenolics by Human UGT1A9 Using Combined Experimental and In Silico Approaches; Pharm Res (2012) 29:1544-1561; DOI:10.1007/s11095-012-0666-z","MetXBioDB | SourceID: BIOTID01784","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","UGT1A9","10.5281/zenodo.4056560","Human"
"5-HYDROXYKETAMINE",118753542,"Dehydration","5,6-DEHYDROKETAMINE","20096599","NULL","NULL","ChEMBL IDs (pred,succ,enzyme): CHEMBL3544562|CHEMBL3544561|NULL","metid:1226; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-hydroxymethylfurfural",237332,"Sulfation of primary alcohol / Human Phase II","5-Sulfooxymethylfurfural","154718","10.1186/s13321-018-0324-5","Rendic, S. et al. 2012; Contributions of Human Enzymes in Carcinogen Metabolism Slobodan Rendic1,* and F. Peter Guengerich; Chem Res Toxicol. 2012 July 16; 25(7): 1316-1383. doi:10.1021/tx300132k","MetXBioDB | SourceID: BIOTID01640","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","SULT1A1","10.5281/zenodo.4056560","Human"
"5-HYDROXYNORKETAMINE",86115991,"Dehydration","5,6-DEHYDRONORKETAMINE","162835","10.1016/j.chroma.2010.06.028","20609441","ChEMBL IDs (pred,succ,enzyme): CHEMBL3544559|CHEMBL3544558|NULL","metid:1222; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5-Methoxy-N,N-diisopropyltryptamine",151182,"N-deisopropylation / Human Phase I","5-MeO-IPT","707167","10.1186/s13321-018-0324-5","PMID:17980859; PMID:20942780","MetXBioDB | SourceID: BIOTID00007","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP1A2; CYP3A4; CYP2C9; CYP2C19","10.5281/zenodo.4056560","Human"
"5-Methoxy-N,N-diisopropyltryptamine",151182,"O-Demethylation / Human Phase I","5-hydroxy-DIPT","71360804","10.1186/s13321-018-0324-5","PMID:17980859; PMID:20942780","MetXBioDB | SourceID: BIOTID00006","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2D6","10.5281/zenodo.4056560","Human"
"5-methoxytryptamine",1833,"O-demethylation / Human Phase I","serotonin","5202","10.1186/s13321-018-0324-5","PMID:12777961","MetXBioDB | SourceID: BIOTID00188","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2D6","10.5281/zenodo.4056560","Human"
"5-methylchrysene",19427,"Aromatic Hydroxylation / Human Phase I","5-Methyl-1,2-dihydrochrysene-1,2-diol","49838","10.1186/s13321-018-0324-5","PMID:8542586","MetXBioDB | SourceID: BIOTID00189","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP1A2; CYP2D6; CYP2E1; CYP3A4","10.5281/zenodo.4056560","Human"
"5-O-Desmethyl Donepezil",11503234,"O-glucuronidation / Human Phase II","(2S,3S,4S,5R)-6-[[2-[(1-benzylpiperidin-4-yl)methyl]-6-methoxy-1-oxo-2,3-dihydroinden-5-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","154699982","10.1186/s13321-018-0324-5","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675.","MetXBioDB | SourceID: BIOTID01922","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","UGT","10.5281/zenodo.4056560","Human"
"5-OH valproic acid",135244,"NULL","CHEMBL3706509","134970","10.1002/bmc.1130060108","1600371","ChEMBL IDs (pred,succ,enzyme): CHEMBL3706505|CHEMBL3706509|NULL","metid:1854; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5 ALPHA-DIHYDRONORETHINDRONE",63023,"oxidation of hydroxyl n and loss of the alkene at the 17 postio","19-NORANDROSTERONE","9548753","10.1016/j.jsbmb.2006.06.024","17000101","ChEMBL IDs (pred,succ,enzyme): CHEMBL3273987|CHEMBL3638321|NULL","metid:903; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5 ALPHA-DIHYDRONORETHINDRONE",63023,"Reductive hydroxylation at the 3 position forming the alpha isomer","5 ALPHA,3 ALPHA-TETRAHYDRONORETHINDRONE","14260695","10.1016/j.jsbmb.2006.06.024|10.1016/0378-4347(95)00325-8","17000101|8788144","ChEMBL IDs (pred,succ,enzyme): CHEMBL3273987|CHEMBL3273988|NULL","metid:901; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5 ALPHA-DIHYDRONORETHINDRONE",63023,"Reductive hydroxylation at the 3 position, forming the beta isomer","5 ALPHA,3 BETA-TETRAHYDRONORETHINDRONE","10402682","10.1016/j.jsbmb.2006.06.024|10.1016/0378-4347(95)00325-8","17000101|8788144","ChEMBL IDs (pred,succ,enzyme): CHEMBL3273987|CHEMBL3273989|NULL","metid:899; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5 ALPHA,3 ALPHA-TETRAHYDRONORETHINDRONE",14260695,"Glucuronide conjugation","5 ALPHA,3 ALPHA-TETRAHYDRONORETHINDRONE GLUCURONIDE CONJUGATE","122196596","NULL","NULL","ChEMBL IDs (pred,succ,enzyme): CHEMBL3273988|CHEMBL3638302|NULL","metid:1460; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5 ALPHA,3 ALPHA-TETRAHYDRONORETHINDRONE",14260695,"Sulfate conjugation","5 ALPHA,3 ALPHA-TETRAHYDRONORETHINDRONE SULFATE CONJUGATE","122196597","NULL","NULL","ChEMBL IDs (pred,succ,enzyme): CHEMBL3273988|CHEMBL3638303|NULL","metid:902; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5 ALPHA,3 BETA-TETRAHYDRONORETHINDRONE",10402682,"Glucuronide conjugation","5 ALPHA,3 BETA-TETRAHYDRONORETHINDRONE GLUCURONIDE CONJUGATE","122196594","NULL","NULL","ChEMBL IDs (pred,succ,enzyme): CHEMBL3273989|CHEMBL3638300|NULL","metid:900; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5 ALPHA,3 BETA-TETRAHYDRONORETHINDRONE",10402682,"Sulfate conjugation","5 ALPHA,3 BETA-TETRAHYDRONORETHINDRONE SULFATE CONJUGATE","122196595","NULL","NULL","ChEMBL IDs (pred,succ,enzyme): CHEMBL3273989|CHEMBL3638301|NULL","metid:1459; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5 BETA-DIHYDRONORETHIDRONE",14260703,"Reductive hydroxylation at the 3 position forming the alpha isomer","5 BETA,3 ALPHA TETRAHYDRONORETHINDRONE","14260696","10.1016/j.jsbmb.2006.06.024|10.1016/0378-4347(95)00325-8","17000101|8788144","ChEMBL IDs (pred,succ,enzyme): CHEMBL3544513|CHEMBL3273990|NULL","metid:1455; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5 BETA-DIHYDRONORETHIDRONE",14260703,"Reductive hydroxylation at the 3 position, forming the beta isomer","5 BETA,3 BETA-TETRAHYDRONORETHINDRONE","14260697","10.1016/j.jsbmb.2006.06.024|10.1016/0378-4347(95)00325-8","17000101|8788144","ChEMBL IDs (pred,succ,enzyme): CHEMBL3544513|CHEMBL3273991|NULL","metid:895; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5 BETA,3 ALPHA TETRAHYDRONORETHINDRONE",14260696,"Glucuronide conjugation","5 BETA,3 ALPHA TETRAHYDRONORETHINDRONE GLUCURONIDE CONJUGATE","122196590","NULL","NULL","ChEMBL IDs (pred,succ,enzyme): CHEMBL3273990|CHEMBL3638296|NULL","metid:894; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5 BETA,3 ALPHA TETRAHYDRONORETHINDRONE",14260696,"Sulfate conjugation","5 BETA,3 ALPHA TETRAHYDRONORETHINDRONE SULFATE CONJUGATE","122196591","NULL","NULL","ChEMBL IDs (pred,succ,enzyme): CHEMBL3273990|CHEMBL3638297|NULL","metid:1456; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5 BETA,3 BETA-TETRAHYDRONORETHINDRONE",14260697,"Glucuronide conjugation","5 BETA,3 BETA-TETRAHYDRONORETHINDRONE GLUCURONIDE CONJUGATE","122196592","NULL","NULL","ChEMBL IDs (pred,succ,enzyme): CHEMBL3273991|CHEMBL3638298|NULL","metid:896; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5 BETA,3 BETA-TETRAHYDRONORETHINDRONE",14260697,"Glucuronide conjugation","6 BETA,3 BETA-TETRAHYDRONORETHINDRONE GLUCURONIDE CONJUGATE","122196592","NULL","NULL","ChEMBL IDs (pred,succ,enzyme): CHEMBL3273991|CHEMBL3638298|NULL","metid:897; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5 BETA,3 BETA-TETRAHYDRONORETHINDRONE",14260697,"Glucuronide conjugation","7 BETA,3 BETA-TETRAHYDRONORETHINDRONE GLUCURONIDE CONJUGATE","122196592","NULL","NULL","ChEMBL IDs (pred,succ,enzyme): CHEMBL3273991|CHEMBL3638298|NULL","metid:898; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5 BETA,3 BETA-TETRAHYDRONORETHINDRONE",14260697,"Sulfate conjugation","5 BETA,3 BETA-TETRAHYDRONORETHINDRONE SULFATE CONJUGATE","122196593","NULL","NULL","ChEMBL IDs (pred,succ,enzyme): CHEMBL3273991|CHEMBL3638299|NULL","metid:1457; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"5,6-DEHYDROKETAMINE",20096599,"N-demethylation","5,6-DEHYDRONORKETAMINE","162835","10.1016/j.chroma.2010.06.028","20609441","ChEMBL IDs (pred,succ,enzyme): CHEMBL3544561|CHEMBL3544558|NULL","metid:1418; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
